"","rMedio"
"T+1",-0.000903254211900817
"T+2",-0.000822530794641722
"T+3",-0.000749141084476593
"T+4",-0.00169535648842412
"T+5",0.000202304489364905
"T+6",-0.00154032537141962
"T+7",-0.00224830409462801
"T+8",-0.00180927194359867
"T+9",-0.000612349830461725
"T+10",-0.000507005581741345
"T+11",-0.00270676134717462
"T+12",-0.00118255081158086
"T+13",-0.000862519472163276
"T+14",-0.00325639470830834
"T+15",-0.00408326861815233
"T+16",-0.00251447344920562
"T+17",-0.00150215115411428
"T+18",-0.00217334379366406
"T+19",-0.00121373768913441
"T+20",-0.00205729035351994
"T+21",-0.000880667589191035
"T+22",-0.00111818780408418
"T+23",0.000233793986140532
"T+24",-0.000839038650196853
"T+25",-0.000241033526543409
"T+26",0.00170630898705534
"T+27",-0.00142946265984109
"T+28",-0.00133588001767723
"T+29",-0.00100911477796955
"T+30",-0.00244489880166284
"T+31",-0.00193677260081172
"T+32",-0.00069557387164465
"T+33",-0.00919456928464413
"T+34",-0.00425576306209233
"T+35",0.0010076291146855
"T+36",0.00194119966679989
"T+37",0.00220688635101944
"T+38",-0.00163411628851199
"T+39",-0.00338150086839489
"T+40",-0.00588466164526834
"T+41",-0.00286734486208818
"T+42",0.00335459672989953
"T+43",0.000446801105233178
"T+44",0.00330470485095975
"T+45",0.00120442603180716
"T+46",-0.0026815305066862
"T+47",1.18195570352773e-05
"T+48",-0.000153307391958484
"T+49",-0.00256627925775432
"T+50",-0.00161407918400184
"T+51",9.54580198140752e-05
"T+52",-0.000421199412128183
"T+53",-0.00280722319008135
"T+54",-0.00606379726646134
"T+55",-0.00154621442653023
"T+56",-0.00243778211668806
"T+57",0.000430938584061463
"T+58",-0.0195830374163638
"T+59",-0.00924554197911467
"T+60",-0.00519008472140251
