"","dataFutura","Ativo","rPrevisto"
"1","T+1","ITAUBZ18",0.00112354616805624
"2","T+2","ITAUBZ18",-0.000306323324130842
"3","T+3","ITAUBZ18",0.00150319441860908
"4","T+4","ITAUBZ18",-0.00206047709810939
"5","T+5","ITAUBZ18",-0.00141564966906235
"6","T+6","ITAUBZ18",-0.00198293715190369
"7","T+7","ITAUBZ18",0.000945673282885651
"8","T+8","ITAUBZ18",0.000682233011301543
"9","T+9","ITAUBZ18",0.00107575453646753
"10","T+10","ITAUBZ18",7.54421882484685e-05
"11","T+11","ITAUBZ18",0.000112334717504341
"12","T+12","ITAUBZ18",0.000126285047679476
"13","T+13","ITAUBZ18",0.00109480093738629
"14","T+14","ITAUBZ18",-0.000491073962864478
"15","T+15","ITAUBZ18",-0.000392981166409777
"16","T+16","ITAUBZ18",0.000250467010345773
"17","T+17","ITAUBZ18",0.00123606750930479
"18","T+18","ITAUBZ18",0.00103723633474521
"19","T+19","ITAUBZ18",-8.01234223281767e-05
"20","T+20","ITAUBZ18",-3.72926662703512e-05
"21","T+21","ITAUBZ18",-0.000407535696770608
"22","T+22","ITAUBZ18",-0.000366413406337377
"23","T+23","ITAUBZ18",-0.000323710801624718
"24","T+24","ITAUBZ18",-0.000226679260838452
"25","T+25","ITAUBZ18",-0.000115273178186462
"26","T+26","ITAUBZ18",0.000246982592797661
"27","T+27","ITAUBZ18",-7.71576656420096e-05
"28","T+28","ITAUBZ18",0.000410296127101921
"29","T+29","ITAUBZ18",3.7652316645638e-05
"30","T+30","ITAUBZ18",-0.000682881381198259
"31","T+31","ITAUBZ18",-2.84468820741087e-05
"32","T+32","ITAUBZ18",-0.000143907164998898
"33","T+33","ITAUBZ18",-0.000188584333649971
"34","T+34","ITAUBZ18",-7.25835882686214e-05
"35","T+35","ITAUBZ18",-0.000142405334370206
"36","T+36","ITAUBZ18",0.000166160065691198
"37","T+37","ITAUBZ18",-1.28578833280846e-05
"38","T+38","ITAUBZ18",0.00039072189716574
"39","T+39","ITAUBZ18",-0.000939956060355616
"40","T+40","ITAUBZ18",-0.000617098466527005
"41","T+41","ITAUBZ18",-0.000683122645005064
"42","T+42","ITAUBZ18",0.000130078515141771
"43","T+43","ITAUBZ18",-0.000392875697854108
"44","T+44","ITAUBZ18",2.97663468459372e-05
"45","T+45","ITAUBZ18",-8.38463699174479e-06
"46","T+46","ITAUBZ18",-2.86026844209609e-05
"47","T+47","ITAUBZ18",-0.000253948893517713
"48","T+48","ITAUBZ18",0.000189873243845253
"49","T+49","ITAUBZ18",0.000575722292288195
"50","T+50","ITAUBZ18",0.00037200396599849
"51","T+51","ITAUBZ18",0.000143327228522028
"52","T+52","ITAUBZ18",0.000671195799245399
"53","T+53","ITAUBZ18",-0.00040642711610048
"54","T+54","ITAUBZ18",-0.000366859928839964
"55","T+55","ITAUBZ18",-0.000202335513929843
"56","T+56","ITAUBZ18",9.17376892076595e-05
"57","T+57","ITAUBZ18",-0.000297771722230193
"58","T+58","ITAUBZ18",-0.00151166793055156
